iter	Passed	Remaining
0	152	152473
1	154	76872
2	155	51580
3	156	38939
4	157	31393
5	159	26342
6	160	22715
7	161	19981
8	162	17863
9	163	16174
10	164	14805
11	165	13657
12	167	12683
13	168	11846
14	169	11123
15	170	10482
16	171	9927
17	172	9430
18	174	8984
19	175	8585
20	176	8239
21	177	7903
22	178	7600
23	180	7321
24	181	7064
25	182	6821
26	183	6608
27	185	6422
28	186	6247
29	188	6092
30	190	5944
31	191	5802
32	193	5666
33	194	5527
34	195	5394
35	197	5280
36	198	5169
37	200	5066
38	201	4957
39	202	4852
40	203	4750
41	204	4659
42	205	4570
43	206	4483
44	207	4401
45	208	4319
46	209	4254
47	211	4191
48	212	4128
49	213	4061
50	214	3996
51	215	3933
52	216	3872
53	217	3812
54	218	3754
55	219	3700
56	220	3647
57	221	3597
58	222	3548
59	223	3504
60	224	3460
61	226	3422
62	227	3382
63	228	3341
64	229	3300
65	230	3261
66	231	3222
67	232	3184
68	233	3147
69	234	3112
70	235	3077
71	236	3044
72	237	3015
73	238	2989
74	240	2965
75	241	2938
76	242	2909
77	243	2880
78	244	2852
79	245	2825
80	246	2799
81	247	2773
82	248	2742
83	249	2718
84	250	2693
85	251	2672
86	252	2649
87	253	2627
88	254	2608
89	256	2590
90	257	2569
91	258	2548
92	259	2527
93	260	2508
94	261	2487
95	262	2468
96	263	2448
97	264	2430
98	265	2413
99	266	2395
100	267	2378
101	268	2361
102	269	2349
103	271	2335
104	272	2320
105	273	2303
106	274	2288
107	275	2272
108	276	2257
109	277	2241
110	278	2227
111	279	2213
112	280	2199
113	281	2185
114	282	2171
115	283	2158
116	284	2145
117	285	2134
118	286	2122
119	287	2109
120	288	2096
121	289	2082
122	290	2070
123	291	2058
124	292	2048
125	293	2037
126	294	2025
127	295	2013
128	296	2002
129	297	1993
130	299	1984
131	300	1975
132	301	1964
133	302	1954
134	303	1943
135	304	1932
136	305	1922
137	306	1913
138	307	1903
139	308	1894
140	309	1884
141	309	1873
142	310	1863
143	311	1854
144	313	1847
145	314	1840
146	315	1831
147	316	1822
148	317	1814
149	318	1805
150	319	1797
151	320	1789
152	321	1780
153	322	1771
154	323	1763
155	324	1755
156	325	1748
157	326	1740
158	327	1734
159	329	1730
160	330	1721
161	331	1714
162	332	1706
163	333	1699
164	334	1692
165	335	1685
166	336	1678
167	337	1671
168	338	1664
169	339	1657
170	340	1651
171	341	1645
172	343	1639
173	344	1634
174	345	1628
175	346	1622
176	347	1615
177	348	1608
178	349	1602
179	350	1596
180	351	1590
181	352	1583
182	353	1577
183	354	1571
184	355	1566
185	356	1561
186	357	1555
187	359	1550
188	360	1546
189	361	1541
190	362	1536
191	363	1531
192	365	1526
193	366	1521
194	367	1515
195	368	1510
196	369	1505
197	370	1500
198	371	1495
199	372	1491
200	374	1487
201	375	1483
202	376	1478
203	377	1473
204	378	1468
205	379	1463
206	380	1457
207	381	1452
208	382	1447
209	383	1442
210	384	1438
211	385	1433
212	387	1429
213	388	1426
214	389	1421
215	390	1416
216	391	1411
217	392	1406
218	392	1401
219	393	1396
220	394	1391
221	395	1386
222	396	1381
223	397	1376
224	398	1372
225	399	1367
226	400	1363
227	401	1359
228	402	1356
229	403	1351
230	404	1347
231	405	1342
232	406	1338
233	407	1333
234	408	1329
235	409	1325
236	410	1320
237	411	1316
238	412	1312
239	413	1308
240	413	1303
241	415	1300
242	416	1296
243	417	1293
244	418	1289
245	419	1285
246	420	1281
247	421	1277
248	422	1273
249	423	1269
250	424	1265
251	425	1262
252	426	1259
253	427	1255
254	428	1251
255	429	1248
256	430	1244
257	431	1241
258	433	1238
259	434	1235
260	435	1231
261	436	1228
262	437	1224
263	438	1221
264	439	1218
265	440	1214
266	441	1211
267	442	1207
268	443	1203
269	443	1200
270	445	1198
271	446	1195
272	447	1192
273	448	1188
274	449	1185
275	451	1183
276	452	1179
277	453	1176
278	454	1173
279	455	1170
280	455	1166
281	457	1163
282	457	1160
283	458	1156
284	459	1153
285	461	1151
286	462	1148
287	463	1145
288	464	1141
289	465	1139
290	466	1135
291	467	1132
292	468	1129
293	469	1126
294	470	1123
295	471	1120
296	471	1117
297	472	1114
298	474	1111
299	475	1109
300	476	1106
301	477	1103
302	478	1100
303	479	1097
304	480	1094
305	481	1091
306	482	1088
307	483	1085
308	483	1082
309	484	1079
310	485	1076
311	486	1072
312	487	1070
313	488	1067
