iter	Passed	Remaining
0	128	127935
1	129	64677
2	131	43622
3	133	33159
4	134	26860
5	136	22619
6	138	19604
7	139	17306
8	141	15532
9	142	14107
10	145	13056
11	146	12086
12	148	11254
13	149	10539
14	150	9914
15	152	9364
16	153	8897
17	155	8472
18	156	8087
19	158	7743
20	159	7438
21	161	7165
22	162	6912
23	164	6678
24	165	6461
25	167	6264
26	168	6080
27	170	5911
28	171	5753
29	173	5603
30	174	5463
31	176	5332
32	177	5214
33	179	5101
34	180	4986
35	182	4883
36	183	4786
37	185	4695
38	186	4605
39	188	4517
40	189	4438
41	191	4358
42	192	4283
43	193	4213
44	195	4145
45	196	4079
46	197	4012
47	199	3950
48	200	3890
49	201	3834
50	203	3779
51	204	3725
52	205	3678
53	207	3632
54	208	3588
55	210	3541
56	211	3496
57	212	3456
58	214	3415
59	215	3374
60	216	3335
61	218	3298
62	219	3264
63	220	3229
64	222	3196
65	223	3163
66	224	3131
67	226	3104
68	227	3073
69	229	3044
70	230	3017
71	232	2998
72	234	2971
73	235	2944
74	236	2917
75	238	2893
76	239	2868
77	240	2844
78	241	2820
79	243	2797
80	244	2777
81	246	2754
82	246	2725
83	247	2703
84	249	2682
85	250	2664
86	252	2645
87	253	2626
88	254	2608
89	256	2591
90	257	2574
91	259	2556
92	260	2538
93	261	2521
94	263	2507
95	264	2491
96	265	2474
97	267	2459
98	268	2446
99	270	2431
100	271	2417
101	272	2403
102	274	2389
103	275	2377
104	277	2363
105	278	2348
106	279	2335
107	281	2323
108	282	2310
109	283	2297
110	285	2283
111	286	2272
112	287	2260
113	289	2248
114	290	2235
115	291	2223
116	292	2209
117	294	2199
118	295	2188
119	296	2177
120	298	2165
121	299	2153
122	300	2143
123	301	2131
124	303	2122
125	304	2112
126	305	2101
127	307	2092
128	308	2082
129	309	2073
130	311	2063
131	312	2054
132	313	2044
133	314	2035
134	316	2026
135	317	2018
136	319	2009
137	320	2000
138	321	1991
139	322	1981
140	323	1973
141	324	1962
142	326	1954
143	327	1946
144	328	1938
145	329	1929
146	331	1921
147	332	1912
148	333	1905
149	334	1897
150	336	1890
151	337	1883
152	338	1874
153	339	1866
154	340	1858
155	342	1851
156	343	1845
157	344	1838
158	346	1832
159	347	1825
160	348	1816
161	349	1810
162	351	1803
163	352	1796
164	353	1789
165	355	1783
166	356	1776
167	357	1770
168	358	1764
169	360	1758
170	361	1753
171	362	1746
172	364	1741
173	365	1734
174	367	1730
175	368	1724
176	369	1718
177	370	1712
178	372	1707
179	373	1702
180	374	1696
181	376	1691
182	377	1685
183	379	1680
184	380	1676
185	381	1671
186	383	1666
187	384	1662
188	386	1657
189	387	1654
190	389	1649
191	390	1644
192	392	1640
193	393	1635
194	394	1630
195	396	1626
196	397	1622
197	399	1617
198	400	1612
199	402	1608
200	403	1603
201	404	1598
202	406	1594
203	407	1589
204	408	1584
205	410	1580
206	411	1577
207	413	1572
208	414	1567
209	415	1563
210	416	1559
211	418	1555
212	419	1551
213	421	1547
214	422	1542
215	424	1539
216	425	1536
217	427	1532
218	428	1527
219	429	1524
220	431	1520
221	432	1516
222	433	1512
223	435	1508
224	436	1504
225	438	1500
226	439	1497
227	440	1493
228	442	1489
229	443	1486
230	445	1481
231	446	1478
232	448	1475
233	449	1471
234	451	1468
235	452	1464
236	454	1462
237	455	1459
238	457	1455
239	458	1452
240	459	1448
241	461	1445
242	462	1441
243	464	1438
244	465	1434
245	467	1431
246	468	1427
247	469	1424
248	471	1421
249	472	1418
250	473	1414
251	475	1410
252	476	1407
253	477	1403
254	479	1401
255	481	1397
256	482	1394
257	483	1391
258	485	1387
259	486	1384
260	487	1380
261	489	1377
262	490	1374
263	491	1370
264	493	1367
265	494	1364
266	495	1361
267	497	1357
268	498	1354
269	499	1351
270	501	1348
271	502	1345
272	504	1342
273	505	1339
274	506	1336
275	508	1333
276	510	1331
277	511	1328
278	512	1325
279	514	1323
280	516	1321
281	518	1319
282	519	1316
283	520	1313
284	522	1309
285	523	1306
286	524	1303
287	526	1301
288	527	1298
289	529	1295
290	530	1292
291	531	1289
292	533	1286
293	534	1283
294	535	1280
295	537	1277
296	538	1274
297	540	1272
298	541	1270
299	543	1267
300	544	1264
301	546	1262
302	547	1259
303	548	1256
304	549	1253
305	551	1249
306	552	1247
307	553	1244
308	555	1241
309	556	1238
310	557	1235
311	558	1232
312	560	1229
313	561	1226
314	562	1223
315	564	1220
316	565	1218
317	566	1215
318	568	1212
319	569	1210
320	571	1207
321	572	1205
322	573	1202
323	575	1199
324	576	1196
325	577	1194
326	579	1192
327	580	1189
328	581	1186
329	582	1183
330	584	1181
331	585	1177
332	586	1174
333	587	1172
334	589	1169
335	590	1166
336	591	1163
337	592	1161
338	594	1158
339	595	1156
340	597	1153
341	598	1151
342	599	1148
343	600	1145
344	602	1143
345	603	1140
346	604	1138
347	606	1135
348	607	1132
349	608	1130
350	609	1127
351	610	1124
352	612	1121
353	613	1119
354	614	1116
355	615	1114
356	617	1111
357	618	1109
358	620	1107
359	621	1104
360	622	1102
361	623	1099
362	625	1097
363	626	1095
364	628	1092
365	629	1090
366	630	1087
367	632	1085
368	633	1083
369	635	1081
370	636	1078
371	637	1076
372	639	1074
373	640	1071
374	641	1069
375	642	1067
376	644	1064
377	645	1062
378	647	1060
379	648	1058
380	649	1056
381	651	1054
382	653	1052
383	654	1049
384	655	1047
385	657	1045
386	658	1043
387	659	1040
388	661	1038
389	662	1036
390	664	1034
391	665	1032
392	666	1029
393	668	1027
394	669	1026
395	671	1023
396	672	1021
397	673	1019
398	675	1017
399	676	1015
400	678	1013
401	679	1010
402	680	1008
403	682	1006
404	684	1005
405	685	1002
406	686	1000
407	688	998
408	689	996
409	691	994
410	692	992
411	693	990
412	695	988
413	696	986
414	698	984
415	699	982
416	701	980
417	702	978
418	704	976
419	705	974
420	707	972
421	708	970
422	709	968
423	711	966
424	712	964
425	714	962
426	715	959
427	716	957
428	717	955
429	720	954
430	721	952
431	722	950
432	724	948
433	725	946
434	727	944
435	728	942
436	729	940
437	731	938
438	732	936
439	733	933
440	735	931
441	736	929
442	737	927
443	739	925
444	740	923
445	741	921
446	742	919
447	744	917
448	745	915
449	746	912
450	748	910
451	749	908
452	751	906
453	752	904
454	753	902
455	755	901
456	756	899
457	758	897
458	759	895
459	760	893
460	762	891
461	763	889
462	765	887
463	766	885
464	768	883
465	769	881
466	770	879
467	772	878
468	773	876
469	775	874
470	776	872
471	777	870
472	779	868
473	780	866
474	782	864
475	783	862
476	784	860
477	786	858
478	787	856
479	788	854
480	790	852
481	791	850
482	793	848
483	794	847
484	795	845
485	797	843
486	798	840
487	799	839
488	801	837
489	802	835
490	803	833
491	805	831
492	806	829
493	808	827
494	809	825
495	810	823
496	811	821
497	813	819
498	814	817
499	815	815
500	816	813
501	818	811
502	819	809
503	820	807
504	822	805
505	823	803
506	824	802
507	825	799
508	827	797
509	828	795
510	829	793
511	830	791
512	832	789
513	833	787
514	834	785
515	835	784
516	837	782
517	838	780
518	840	778
519	841	776
520	842	774
521	844	772
522	845	771
523	846	769
524	848	767
525	849	765
526	850	763
527	852	761
528	853	759
529	854	758
530	856	756
531	857	754
532	858	752
533	859	750
534	861	748
535	862	746
536	863	744
537	865	742
538	866	741
539	867	739
540	869	737
541	870	735
542	872	734
543	874	733
544	875	731
545	877	729
546	878	727
547	880	726
548	881	724
549	883	722
550	884	720
551	886	719
552	887	717
553	888	715
554	890	713
555	891	711
556	893	710
557	894	708
558	895	706
559	897	705
560	898	703
561	900	701
562	901	699
563	903	698
564	904	696
565	905	694
566	907	692
567	908	691
568	910	689
569	911	687
570	913	686
571	914	684
572	915	682
573	917	680
574	918	679
575	919	677
576	921	675
577	922	673
578	924	672
579	925	670
580	926	668
581	928	666
582	929	664
583	931	663
584	932	661
585	933	659
586	934	657
587	936	656
588	937	654
589	939	652
590	940	651
591	942	649
592	943	647
593	945	645
594	946	644
595	947	642
